municipality,state,year,lat,lon,altitude,ndvi_vigor,ndwi_moisture,lst_temp,root_zone_wetness,evapotranspiration,clay_content2,annual_rainfall,extreme_event,disease_score,orange_price_real,fcoj_price_ny_lag1,urea_price_lag1,phosphate_price_lag1,kcl_price_lag1,harvested_area_ha,production_ton,yield_t_ha,economic_efficiency,
Avare,SP,2021,-23.073834,-48.894245,703.21,0.1824,0.0869,21.5146,0.11610,7822.1672,43.3155,962.8013,1,2,0.60,117.12,234.02,77.68,246.24,7000,315000.00,45.00,10.97,
Bebedouro,SP,2021,-20.939926,-48.510172,573.15,0.1847,0.0733,26.7007,0.09750,4778.2506,29.2673,1079.1146,1,3,0.60,117.12,234.02,77.68,246.24,6810,240707.00,35.35,8.62,
Casa Branca,SP,2021,-21.799796,-47.087518,655.48,0.1963,0.0764,27.7049,0.23870,7626.9272,35.1306,1017.0589,1,1,0.60,117.12,234.02,77.68,246.24,14000,770000.00,55.00,13.41,
Itapetininga,SP,2021,-23.644648,-48.122936,668.28,0.2035,0.0923,20.2542,0.11100,8107.2463,36.2056,842.4183,1,2,0.60,117.12,234.02,77.68,246.24,8500,289000.00,34.00,8.29,
Matao,SP,2021,-21.609602,-48.430162,582.56,0.1898,0.0576,28.8605,0.20100,6060.6601,29.4754,833.9216,1,3,0.60,117.12,234.02,77.68,246.24,4200,100800.00,24.00,5.85,
Santa Cruz Do Rio Pardo,SP,2021,-22.808644,-49.568133,542.29,0.1720,0.0536,24.5322,0.25920,6649.6405,35.9800,1095.2843,1,2,0.60,117.12,234.02,77.68,246.24,9904,427595.00,43.17,10.53,
Votuporanga,SP,2021,-20.457345,-49.988931,466.76,0.1940,0.0222,32.6335,0.08730,4851.6904,22.3793,919.7638,1,1,0.60,117.12,234.02,77.68,246.24,390,15139.00,38.82,9.47,
Frutal,MG,2022,-20.035218,-48.999708,513.89,0.1541,0.0402,27.7167,0.22080,5602.5247,28.6589,1300.7357,0,2,0.78,124.36,441.69,112.63,496.17,4800,132750.00,27.66,3.67,
Avare,SP,2022,-23.073834,-48.894245,703.21,0.1921,0.0867,22.7522,0.13380,7990.3933,43.3155,1029.0047,0,3,0.78,124.36,441.69,112.63,496.17,8900,391600.00,44.00,5.83,
Bebedouro,SP,2022,-20.939926,-48.510172,573.15,0.2149,0.0812,27.7338,0.12320,5365.6836,29.2673,1085.8651,0,3,0.78,124.36,441.69,112.63,496.17,6810,240707.00,35.35,4.69,
Casa Branca,SP,2022,-21.799796,-47.087518,655.48,0.1943,0.0894,25.6842,0.26960,7151.0765,35.1306,1182.3574,0,1,0.78,124.36,441.69,112.63,496.17,11000,605000.00,55.00,7.29,
Itapetininga,SP,2022,-23.644648,-48.122936,668.28,0.1941,0.1014,18.2473,0.12520,7955.4715,36.2056,1243.0613,0,3,0.78,124.36,441.69,112.63,496.17,9800,368274.00,37.58,4.98,
Matao,SP,2022,-21.609602,-48.430162,582.56,0.2023,0.0799,26.8746,0.22780,6418.7413,29.4754,1097.1252,0,3,0.78,124.36,441.69,112.63,496.17,4200,142800.00,34.00,4.51,
Santa Cruz Do Rio Pardo,SP,2022,-22.808644,-49.568133,542.29,0.1788,0.0704,23.9533,0.30990,7677.6417,35.9800,1150.7268,0,3,0.78,124.36,441.69,112.63,496.17,9904,424773.00,42.89,5.69,
Votuporanga,SP,2022,-20.457345,-49.988931,466.76,0.1928,0.0641,26.8427,0.10980,5659.9987,22.3793,1152.7156,0,2,0.78,124.36,441.69,112.63,496.17,260,10069.00,38.73,5.14,
Frutal,MG,2023,-20.035218,-48.999708,513.89,0.2109,0.0909,26.9894,0.27020,695.3233,28.6589,1351.9906,0,2,1.38,174.89,596.01,226.61,735.14,4500,128700.00,28.60,3.76,
Avare,SP,2023,-23.073834,-48.894245,703.21,0.1950,0.0992,22.9788,0.14490,685.7252,43.3155,1435.0580,0,3,1.38,174.89,596.01,226.61,735.14,8900,385664.00,43.33,5.69,
Bebedouro,SP,2023,-20.939926,-48.510172,573.15,0.2590,0.1278,25.3496,0.14780,723.4371,29.2673,1418.6602,0,3,1.38,174.89,596.01,226.61,735.14,5514,230743.00,41.85,5.50,
Casa Branca,SP,2023,-21.799796,-47.087518,655.48,0.2070,0.1048,25.3596,0.31120,882.7304,35.1306,1406.5852,0,1,1.38,174.89,596.01,226.61,735.14,11000,605000.00,55.00,7.23,
Itapetininga,SP,2023,-23.644648,-48.122936,668.28,0.2050,0.1138,19.6659,0.14020,755.7451,36.2056,1226.1499,0,3,1.38,174.89,596.01,226.61,735.14,9800,368274.00,37.58,4.94,
Matao,SP,2023,-21.609602,-48.430162,582.56,0.2291,0.0899,27.1062,0.25990,498.3029,29.4754,1236.4439,0,3,1.38,174.89,596.01,226.61,735.14,4200,135345.00,32.23,4.23,
Santa Cruz Do Rio Pardo,SP,2023,-22.808644,-49.568133,542.29,0.1780,0.0804,24.8937,0.31520,614.4976,35.9800,1407.8892,0,3,1.38,174.89,596.01,226.61,735.14,9904,423119.00,42.72,5.61,
Votuporanga,SP,2023,-20.457345,-49.988931,466.76,0.2225,0.0877,25.7879,0.14680,712.0575,22.3793,1181.0708,0,2,1.38,174.89,596.01,226.61,735.14,260,10069.00,38.73,5.09,
Frutal,MG,2024,-20.035218,-48.999708,513.89,0.1683,0.0409,32.8176,0.20430,0.0000,28.6589,1362.3120,1,2,1.96,296.05,313.76,281.91,335.86,4500,90450.00,20.10,9.16,
Avare,SP,2024,-23.073834,-48.894245,703.21,0.2056,0.0644,28.7464,0.09520,0.0000,43.3155,1093.9028,1,3,1.96,296.05,313.76,281.91,335.86,11300,414710.00,36.70,16.72,
Bebedouro,SP,2024,-20.939926,-48.510172,573.15,0.1949,0.0737,30.5252,0.08990,0.0000,29.2673,955.5314,1,3,1.96,296.05,313.76,281.91,335.86,5448,172024.00,31.58,14.39,
Casa Branca,SP,2024,-21.799796,-47.087518,655.48,0.1949,0.0748,29.2079,0.22250,0.0000,35.1306,1297.8345,1,1,1.96,296.05,313.76,281.91,335.86,10000,550000.00,55.00,25.06,
Itapetininga,SP,2024,-23.644648,-48.122936,668.28,0.2139,0.0591,27.7622,0.09130,0.0000,36.2056,1160.0935,1,3,1.96,296.05,313.76,281.91,335.86,9000,284526.00,31.61,14.41,
Matao,SP,2024,-21.609602,-48.430162,582.56,0.1879,0.0511,31.5217,0.18940,0.0000,29.4754,1027.5476,1,3,1.96,296.05,313.76,281.91,335.86,4200,107957.00,25.70,11.71,
Santa Cruz Do Rio Pardo,SP,2024,-22.808644,-49.568133,542.29,0.1781,0.0413,30.9735,0.24420,0.0000,35.9800,1073.1034,1,3,1.96,296.05,313.76,281.91,335.86,9904,282858.00,28.56,13.02,
Votuporanga,SP,2024,-20.457345,-49.988931,466.76,0.1934,0.0221,33.6569,0.08370,0.0000,22.3793,1188.0678,1,2,1.96,296.05,313.76,281.91,335.86,260,10069.00,38.73,17.65,
